"x","y","t","cluster","cluster1","cluster2","cluster3"
-4.20596510153264,9.16787980422377,3.2692808536347,0,0,0,0
5.70844168178737,7.9655210933648,-8.02215491370298,0,0,0,0
-1.80225694812834,3.77596451276913,-2.29740117159672,0,0,0,0
7.58374459929764,5.85025487020612,-4.46720383744687,0,0,0,0
8.72125222901814,-9.4126490467228,6.22987276981585,0,0,0,0
-8.99798131207936,-0.439639772381634,-1.01937644043937,0,0,0,0
0.556488663330674,5.11749884295277,6.13927419036627,0,0,0,0
7.76989707900211,-5.61512287049554,6.18531228848733,0,0,0,0
1.01841328642331,-3.60001604883,5.82797795799561,0,0,0,0
-0.859028240991757,-5.31380945001729,-1.19133258545771,0,0,0,0
9.04530023792759,-7.07255955683067,5.03860814105719,0,0,0,0
-0.923983707418666,-1.69198255087249,2.55857840487733,0,0,0,0
3.51589858196676,-1.70825833934359,4.16161154676229,0,0,0,0
1.4381413587369,-2.59686007169075,-9.88762948815711,0,0,0,0
-7.8620912832208,-6.88159399470314,-0.488731832848861,0,0,0,0
7.91653441395611,-7.1516399437096,-5.54164607380517,0,0,0,0
-5.02746285977773,-5.28592483084649,-2.37963255308568,0,0,0,0
-9.06722123608924,-0.673943484993652,2.23286586483009,0,0,0,0
-3.40716975820251,-4.63374172076583,-2.93440139698796,0,0,0,0
8.9991722531151,7.08498876378872,-7.69951859791763,0,0,0,0
7.71287845806219,-8.99254289986566,-5.07633444014937,0,0,0,0
3.81750744190067,-1.14443853073753,3.32750063147396,0,0,0,0
2.78203491261229,5.91871194373816,-1.63059376236051,0,0,0,0
9.78654157714918,-7.48639465249144,5.70627751378342,0,0,0,0
3.08297482249327,1.20677007841878,-7.86328004370444,0,0,0,0
4.1289032697212,-5.81067848559469,-1.2891237183474,0,0,0,0
0.87250728928484,-7.37487332518213,9.60214820369147,0,0,0,0
1.86401200485416,5.01549571319483,7.78241206509992,0,0,0,0
-4.17463720156811,7.82189811123535,7.65208740360104,0,0,0,0
-6.98714978322387,-2.48563703745604,-6.43395752459764,0,0,0,0
-2.7386086168699,-1.73738262616098,-2.02075752429664,0,0,0,0
-1.69379614992067,-0.973399468697608,-2.83342530904338,3,1,0,1
-2.3129670554772,-1.32158581633121,-2.48014400200918,3,1,0,1
-1.68648374406621,-1.81390882283449,-1.25030674878508,3,1,0,1
-2.35925351502374,-0.754145368933678,-1.2958817272447,1,1,0,0
-2.62461776146665,-0.963332791812718,-1.31419067084789,1,1,0,0
-1.43541139736772,-3.9197261352092,-1.1061926507391,1,1,0,0
-2.81281002657488,-2.47638519946486,-1.69463673047721,3,1,0,1
-2.06644191686064,-3.79647954553366,-2.02368886955082,1,1,0,0
-1.97698908019811,-0.808388250879943,-2.62448659865186,3,1,0,1
-1.80002208147198,-0.305203147232533,-1.57393387844786,1,1,0,0
-2.33435291936621,-1.82960651814938,-2.82986005861312,3,1,0,1
-2.02277393266559,-0.590541599318385,-2.07760118879378,3,1,0,1
-1.09105234500021,-1.66574854683131,-1.12818538676947,1,1,0,0
-2.0341952056624,-1.32670542597771,-1.30941266426817,3,1,0,1
-1.21929955575615,-1.9547416139394,-1.56762656616047,3,1,0,1
-1.17112362617627,-0.948997642844915,-2.75238730339333,1,1,0,0
-1.78253003535792,-0.386550848372281,-1.81034507742152,1,1,0,0
-2.17862044693902,-0.718101951293647,-1.02029439713806,1,1,0,0
-2.70581061812118,-3.71427260152996,-1.7691830242984,1,1,0,0
-1.12940039345995,-3.98441462777555,-2.45384466601536,1,1,0,0
-2.39754220005125,-3.79120553657413,-2.87258631363511,1,1,0,0
-2.87855885690078,-0.533759281039238,-2.85539344884455,1,1,0,0
-1.10454611992463,-1.69501932431012,-1.25297757191584,3,1,0,1
-1.55880745314062,-2.74462971184403,-2.27435000659898,1,1,0,0
-2.71541140880436,-0.162136864848435,-1.10875570168719,1,1,0,0
-1.90143068786711,-1.63522497192025,-1.88336212001741,3,1,0,1
-1.09181752288714,-1.87436265684664,-1.97467769822106,3,1,0,1
-1.82903329376131,-2.46425331383944,-1.1044566729106,3,1,0,1
-2.19097943650559,-2.72178708203137,-2.78039680887014,1,1,0,0
-1.70421304134652,-0.766454978846014,-1.36218489892781,3,1,0,1
-2.36035876581445,-3.83232200611383,-2.2453157864511,1,1,0,0
-2.38455997826532,-2.5450292211026,-1.8867179043591,3,1,0,1
-2.56046473747119,-0.573612132109702,-2.37225762661546,1,1,0,0
-2.26102226832882,-1.20821368601173,-2.83531423937529,1,1,0,0
-1.03156159305945,-1.26205410808325,-1.44012491544709,1,1,0,0
-2.69159539835528,-2.60793978907168,-2.61353054316714,1,1,0,0
-2.81791200023144,-1.7812726823613,-1.68882906483486,3,1,0,1
-2.71618618443608,-3.45102552976459,-2.12970589334145,1,1,0,0
-1.61998579697683,-0.860273774713278,-2.60570334689692,3,1,0,1
-1.76148703321815,-0.452549713663757,-1.01067915558815,1,1,0,0
-1.21721176570281,-3.18361646682024,-2.10651426715776,1,1,0,0
-1.65400181477889,-0.917508154176176,-2.93714667158201,1,1,0,0
-1.52584452414885,-1.61454815696925,-1.12596688373014,3,1,0,1
-1.95772854844108,-0.169321030378342,-1.25803209142759,1,1,0,0
-1.68032310064882,-3.36524640955031,-1.79750743322074,1,1,0,0
-1.35638907970861,-1.89610290341079,-2.40196908731014,3,1,0,1
-1.42743689659983,-0.507394529879093,-1.38130744965747,1,1,0,0
-1.0403561652638,-0.521175718866289,-1.09571522986516,1,1,0,0
-2.12113692751154,-3.90524542704225,-1.2958920574747,1,1,0,0
-2.37659559585154,-0.09644122608006,-2.7453805282712,1,1,0,0
-2.18105009477586,-2.03910320717841,-1.06223530042917,3,1,0,1
-2.97906577633694,-2.44331870786846,-1.88579798256978,1,1,0,0
-2.63230095198378,-2.32978016044945,-2.98927110526711,1,1,0,0
-1.31454136222601,-3.62829671800137,-2.7284721606411,1,1,0,0
-2.53767643589526,-3.35276315920055,-2.9883057968691,1,1,0,0
-2.52180008869618,-2.37833401933312,-1.36625187564641,3,1,0,1
-2.84661766933277,-2.63274222332984,-1.43567282427102,1,1,0,0
-2.50855264393613,-2.33897018712014,-1.13786742836237,1,1,0,0
-1.53572958894074,-2.78379012364894,-2.26262023532763,1,1,0,0
-1.30509366979823,-1.75887785013765,-1.05109025165439,3,1,0,1
-2.00494546582922,-3.37650339771062,-1.35251263622195,1,1,0,0
-2.22418194031343,-0.173680943436921,-1.42510227346793,1,1,0,0
-2.50710201170295,-3.82413349859416,-1.75434833066538,1,1,0,0
-2.77780707739294,-2.51136902906001,-1.06529014231637,1,1,0,0
-2.22001112950966,-0.149538634344935,-2.00016301870346,1,1,0,0
-1.85612937202677,-1.41828993707895,-1.21260880073532,3,1,0,1
-2.56621447438374,-3.75494954269379,-2.19791350606829,1,1,0,0
-2.11046399595216,-2.36021628603339,-2.1049167807214,3,1,0,1
-2.56401866255328,-2.29637946374714,-1.12844183575362,1,1,0,0
-1.9954008734785,-1.96736766118556,-1.63333560526371,3,1,0,1
-2.29219085630029,-2.20160035695881,-2.96367373969406,1,1,0,0
-1.70002968236804,-1.50695446599275,-2.6689465646632,3,1,0,1
-2.25057208677754,-3.44008827582002,-2.00833100220188,1,1,0,0
-2.28910923842341,-0.368214396759868,-2.14692954393104,1,1,0,0
-1.93262410908937,-1.72222690097988,-1.01589375874028,3,1,0,1
-1.51933127921075,-1.80687770433724,-1.22209975216538,3,1,0,1
-2.55779412435368,-3.53268950991333,-2.30848925746977,1,1,0,0
-2.1745077627711,-0.951886670663953,-1.58831174997613,3,1,0,1
-2.46862662630156,-2.08652221318334,-1.18255062587559,3,1,0,1
-1.74005389306694,-0.872124341316521,-1.64741422561929,3,1,0,1
-2.63234301842749,-3.8158938055858,-1.72179945744574,1,1,0,0
-1.27271177712828,-0.720621328800917,-2.70079094590619,1,1,0,0
-1.50686399172992,-2.9223662102595,-1.79774921992794,1,1,0,0
-1.66343070054427,-2.86859834194183,-2.45449752826244,1,1,0,0
-1.76396425347775,-1.42711376212537,-2.08429325791076,3,1,0,1
-2.25552387954667,-0.207524648867548,-2.55549381347373,1,1,0,0
-1.94032862829044,-3.97200618218631,-2.49015696626157,1,1,0,0
-1.25063531426713,-2.59352931194007,-1.69262454565614,3,1,0,1
-1.83649980043992,-2.32381710037589,-2.05601367773488,3,1,0,1
-1.32046447042376,-2.16849281173199,-2.67807392869145,1,1,0,0
-2.37510367017239,-1.1532296827063,-2.45583933079615,3,1,0,1
-1.58341935556382,-0.320607769303024,-1.57408781396225,1,1,0,0
-2.46996438782662,-1.49155719764531,-1.77329269563779,3,1,0,1
-1.81131361192092,-0.391272886656225,-2.73575606755912,1,1,0,0
-2.03742039902136,-0.970683363266289,-2.85998549358919,1,1,0,0
-2.46993453707546,-3.44856653735042,-1.06746997404844,1,1,0,0
-1.87081913044676,-3.38698048796505,-2.26345944404602,1,1,0,0
-1.17362355394289,-3.2347512524575,-1.64509183075279,1,1,0,0
-1.19625122100115,-2.26725943759084,-1.30809653922915,3,1,0,1
-2.45166675699875,-3.65112279262394,-2.51669922936708,1,1,0,0
-2.35703448718414,-3.10487999580801,-2.9296980178915,1,1,0,0
-1.02871823124588,-1.71140528190881,-1.80951952654868,3,1,0,1
-1.76001337962225,-2.39932328648865,-1.32761774398386,3,1,0,1
-1.12537182169035,-1.73813847731799,-2.27550157951191,3,1,0,1
-2.06693459535018,-0.681504485197365,-2.33562293322757,3,1,0,1
-2.18633481347933,-1.43154472205788,-1.71052733855322,3,1,0,1
-1.68153935158625,-2.43400499317795,-1.08276972640306,3,1,0,1
-2.69530676631257,-1.16168058104813,-1.80759274307638,3,1,0,1
-1.85426588356495,-3.56470370758325,-1.97943996405229,1,1,0,0
-2.52254794631153,-2.9055090630427,-2.68947172816843,1,1,0,0
-1.07528212713078,-1.62453226931393,-1.30829798895866,3,1,0,1
-1.79726854804903,-3.35926074627787,-2.57123914873227,1,1,0,0
-1.96994054550305,-0.586279044859111,-1.66025351034477,3,1,0,1
-2.19485331559554,-0.609043369069695,-1.76448709750548,3,1,0,1
-1.23950691753998,-2.08845274988562,-2.90000044601038,1,1,0,0
-2.27181627042592,-0.905231510289013,-1.10120244883001,1,1,0,0
-2.42352143861353,-2.81839967798442,-1.83489593677223,1,1,0,0
-2.6587095297873,-3.73748755268753,-1.27809132589027,1,1,0,0
-2.65565650723875,-2.237867500633,-1.96306550130248,3,1,0,1
-2.03591478895396,-2.15160456858575,-2.4677450330928,3,1,0,1
-2.49407014297321,-2.63626251928508,-1.80524467304349,3,1,0,1
-2.5674904207699,-3.25943872518837,-1.40884783165529,1,1,0,0
-1.65124722383916,-1.97200909256935,-1.62142792483792,3,1,0,1
-2.90467274514958,-3.92323587741703,-2.03873671079054,1,1,0,0
-1.59829382505268,-0.905255842022598,-2.06814122246578,3,1,0,1
-2.29622272308916,-1.76133968308568,-1.76317532965913,3,1,0,1
-2.18211200414225,-1.43414944317192,-2.10145897138864,3,1,0,1
